country,year,population,Totale
Bolivia,1962,3593918,3595880
Bolivia,1967,4040665,4042632
Bolivia,1972,4565872,4567844
Bolivia,1977,5079716,5081693
Bolivia,1982,5642224,5644206
Bolivia,1987,6156369,6158356
Bolivia,1992,6893451,6895443
Bolivia,1997,7693188,7695185
Bolivia,2002,8445134,8447136
Bolivia,2007,9119152,9121159
Bosnia and Herzegovina,1952,2791000,2792952
Bosnia and Herzegovina,1957,3076000,3077957
Bosnia and Herzegovina,1962,3349000,3350962
Bosnia and Herzegovina,1967,3585000,3586967
Bosnia and Herzegovina,1972,3819000,3820972
Bosnia and Herzegovina,1977,4086000,4087977
Bosnia and Herzegovina,1982,4172693,4174675
Bosnia and Herzegovina,1987,4338977,4340964
Bosnia and Herzegovina,1992,4256013,4258005
Bosnia and Herzegovina,1997,3607000,3608997
Bosnia and Herzegovina,2002,4165416,4167418
Bosnia and Herzegovina,2007,4552198,4554205
Botswana,1952,442308,444260
Botswana,1957,474639,476596
Botswana,1962,512764,514726
Botswana,1967,553541,555508
Botswana,1972,619351,621323
Botswana,1977,781472,783449
Botswana,1982,970347,972329
Botswana,1987,1151184,1153171
Botswana,1992,1342614,1344606
Botswana,1997,1536536,1538533
Botswana,2002,1630347,1632349
Botswana,2007,1639131,1641138
Brazil,1952,56602560,56604512
Brazil,1957,65551171,65553128
Brazil,1962,76039390,76041352
Brazil,1967,88049823,88051790
Brazil,1972,100840058,100842030
Brazil,1977,114313951,114315928
Brazil,1982,128962939,128964921
Brazil,1987,142938076,142940063
Brazil,1992,155975974,155977966
Brazil,1997,168546719,168548716
Brazil,2002,179914212,179916214
Brazil,2007,190010647,190012654
Bulgaria,1952,7274900,7276852
Bulgaria,1957,7651254,7653211
Bulgaria,1962,8012946,8014908
Bulgaria,1967,8310226,8312193
Bulgaria,1972,8576200,8578172
Bulgaria,1977,8797022,8798999
Bulgaria,1982,8892098,8894080
Bulgaria,1987,8971958,8973945
Bulgaria,1992,8658506,8660498
Bulgaria,1997,8066057,8068054
Bulgaria,2002,7661799,7663801
Bulgaria,2007,7322858,7324865
Burkina Faso,1952,4469979,4471931
Burkina Faso,1957,4713416,4715373
Burkina Faso,1962,4919632,4921594
Burkina Faso,1967,5127935,5129902
Burkina Faso,1972,5433886,5435858
Burkina Faso,1977,5889574,5891551
Burkina Faso,1982,6634596,6636578
Burkina Faso,1987,7586551,7588538
Burkina Faso,1992,8878303,8880295
Burkina Faso,1997,10352843,10354840
Burkina Faso,2002,12251209,12253211
Burkina Faso,2007,14326203,14328210
Burundi,1952,2445618,2447570
Burundi,1957,2667518,2669475
Burundi,1962,2961915,2963877
Burundi,1967,3330989,3332956
Burundi,1972,3529983,3531955
Burundi,1977,3834415,3836392
Burundi,1982,4580410,4582392
Burundi,1987,5126023,5128010
Burundi,1992,5809236,5811228
Burundi,1997,6121610,6123607
Burundi,2002,7021078,7023080
Burundi,2007,8390505,8392512
Cambodia,1952,4693836,4695788
Cambodia,1957,5322536,5324493
Cambodia,1962,6083619,6085581
Cambodia,1967,6960067,6962034
Cambodia,1972,7450606,7452578
Cambodia,1977,6978607,6980584
Cambodia,1982,7272485,7274467
Cambodia,1987,8371791,8373778
Cambodia,1992,10150094,10152086
Cambodia,1997,11782962,11784959
Cambodia,2002,12926707,12928709
Cambodia,2007,14131858,14133865
Cameroon,1952,5009067,5011019
Cameroon,1957,5359923,5361880
Cameroon,1962,5793633,5795595
Cameroon,1967,6335506,6337473
Cameroon,1972,7021028,7023000
Cameroon,1977,7959865,7961842
Cameroon,1982,9250831,9252813
Cameroon,1987,10780667,10782654
Cameroon,1992,12467171,12469163
Cameroon,1997,14195809,14197806
Cameroon,2002,15929988,15931990
Cameroon,2007,17696293,17698300
Canada,1952,14785584,14787536
Canada,1957,17010154,17012111
Canada,1962,18985849,18987811
Canada,1967,20819767,20821734
Canada,1972,22284500,22286472
Canada,1977,23796400,23798377
Canada,1982,25201900,25203882
Canada,1987,26549700,26551687
Canada,1992,28523502,28525494
Canada,1997,30305843,30307840
Canada,2002,31902268,31904270
Canada,2007,33390141,33392148
Central African Republic,1952,1291695,1293647
Central African Republic,1957,1392284,1394241
Central African Republic,1962,1523478,1525440
Central African Republic,1967,1733638,1735605
Central African Republic,1972,1927260,1929232
Central African Republic,1977,2167533,2169510
Central African Republic,1982,2476971,2478953
Central African Republic,1987,2840009,2841996
Central African Republic,1992,3265124,3267116
Central African Republic,1997,3696513,3698510
Central African Republic,2002,4048013,4050015
Central African Republic,2007,4369038,4371045
Chad,1952,2682462,2684414
Chad,1957,2894855,2896812
Chad,1962,3150417,3152379
Chad,1967,3495967,3497934
Chad,1972,3899068,3901040
Chad,1977,4388260,4390237
Chad,1982,4875118,4877100
Chad,1987,5498955,5500942
Chad,1992,6429417,6431409
Chad,1997,7562011,7564008
Chad,2002,8835739,8837741
Chad,2007,10238807,10240814
Chile,1952,6377619,6379571
Chile,1957,7048426,7050383
Chile,1962,7961258,7963220
Chile,1967,8858908,8860875
Chile,1972,9717524,9719496
Chile,1977,10599793,10601770
Chile,1982,11487112,11489094
Chile,1987,12463354,12465341
Chile,1992,13572994,13574986
Chile,1997,14599929,14601926
Chile,2002,15497046,15499048
Chile,2007,16284741,16286748
China,1952,556263527,556265479
China,1957,637408000,637409957
China,1962,665770000,665771962
China,1967,754550000,754551967
China,1972,862030000,862031972
China,1977,943455000,943456977
China,1982,1000281000,1000282982
China,1987,1084035000,1084036987
China,1992,1164970000,1164971992
China,1997,1230075000,1230076997
China,2002,1280400000,1280402002
China,2007,1318683096,1318685103
Colombia,1952,12350771,12352723
Colombia,1957,14485993,14487950
Colombia,1962,17009885,17011847
Colombia,1967,19764027,19765994
Colombia,1972,22542890,22544862
Colombia,1977,25094412,25096389
Colombia,1982,27764644,27766626
Colombia,1987,30964245,30966232
Colombia,1992,34202721,34204713
Colombia,1997,37657830,37659827
Colombia,2002,41008227,41010229
Colombia,2007,44227550,44229557
Comoros,1952,153936,155888
Comoros,1957,170928,172885
Comoros,1962,191689,193651
Comoros,1967,217378,219345
Comoros,1972,250027,251999
Comoros,1977,304739,306716
Comoros,1982,348643,350625
Comoros,1987,395114,397101
Comoros,1992,454429,456421
Comoros,1997,527982,529979
Comoros,2002,614382,616384
Comoros,2007,710960,712967
"Congo, Dem. Rep.",1952,14100005,14101957
"Congo, Dem. Rep.",1957,15577932,15579889
"Congo, Dem. Rep.",1962,17486434,17488396
"Congo, Dem. Rep.",1967,19941073,19943040
"Congo, Dem. Rep.",1972,23007669,23009641
"Congo, Dem. Rep.",1977,26480870,26482847
"Congo, Dem. Rep.",1982,30646495,30648477
"Congo, Dem. Rep.",1987,35481645,35483632
"Congo, Dem. Rep.",1992,41672143,41674135
"Congo, Dem. Rep.",1997,47798986,47800983
"Congo, Dem. Rep.",2002,55379852,55381854
"Congo, Dem. Rep.",2007,64606759,64608766
"Congo, Rep.",1952,854885,856837
"Congo, Rep.",1957,940458,942415
"Congo, Rep.",1962,1047924,1049886
"Congo, Rep.",1967,1179760,1181727
"Congo, Rep.",1972,1340458,1342430
"Congo, Rep.",1977,1536769,1538746
"Congo, Rep.",1982,1774735,1776717
"Congo, Rep.",1987,2064095,2066082
"Congo, Rep.",1992,2409073,2411065
"Congo, Rep.",1997,2800947,2802944
"Congo, Rep.",2002,3328795,3330797
"Congo, Rep.",2007,3800610,3802617
Costa Rica,1952,926317,928269
Costa Rica,1957,1112300,1114257
Costa Rica,1962,1345187,1347149
Costa Rica,1967,1588717,1590684
Costa Rica,1972,1834796,1836768
Costa Rica,1977,2108457,2110434
Costa Rica,1982,2424367,2426349
Costa Rica,1987,2799811,2801798
Costa Rica,1992,3173216,3175208
Costa Rica,1997,3518107,3520104
Costa Rica,2002,3834934,3836936
Costa Rica,2007,4133884,4135891
Cote d'Ivoire,1952,2977019,2978971
Cote d'Ivoire,1957,3300000,3301957
Cote d'Ivoire,1962,3832408,3834370
Cote d'Ivoire,1967,4744870,4746837
Cote d'Ivoire,1972,6071696,6073668
Cote d'Ivoire,1977,7459574,7461551
Cote d'Ivoire,1982,9025951,9027933
Cote d'Ivoire,1987,10761098,10763085
Cote d'Ivoire,1992,12772596,12774588
Cote d'Ivoire,1997,14625967,14627964
Cote d'Ivoire,2002,16252726,16254728
Cote d'Ivoire,2007,18013409,18015416
Croatia,1952,3882229,3884181
Croatia,1957,3991242,3993199
Croatia,1962,4076557,4078519
Croatia,1967,4174366,4176333
Croatia,1972,4225310,4227282
Croatia,1977,4318673,4320650
Croatia,1982,4413368,4415350
Croatia,1987,4484310,4486297
Croatia,1992,4494013,4496005
Croatia,1997,4444595,4446592
Croatia,2002,4481020,4483022
Croatia,2007,4493312,4495319
Cuba,1952,6007797,6009749
Cuba,1957,6640752,6642709
Cuba,1962,7254373,7256335
Cuba,1967,8139332,8141299
Cuba,1972,8831348,8833320
Cuba,1977,9537988,9539965
Cuba,1982,9789224,9791206
Cuba,1987,10239839,10241826
Cuba,1992,10723260,10725252
Cuba,1997,10983007,10985004
Cuba,2002,11226999,11229001
Cuba,2007,11416987,11418994
Czech Republic,1952,9125183,9127135
Czech Republic,1957,9513758,9515715
Czech Republic,1962,9620282,9622244
Czech Republic,1967,9835109,9837076
Czech Republic,1972,9862158,9864130
Czech Republic,1977,10161915,10163892
Czech Republic,1982,10303704,10305686
Czech Republic,1987,10311597,10313584
Czech Republic,1992,10315702,10317694
Czech Republic,1997,10300707,10302704
Czech Republic,2002,10256295,10258297
Czech Republic,2007,10228744,10230751
Denmark,1952,4334000,4335952
Denmark,1957,4487831,4489788
Denmark,1962,4646899,4648861
Denmark,1967,4838800,4840767
Denmark,1972,4991596,4993568
Denmark,1977,5088419,5090396
Denmark,1982,5117810,5119792
Denmark,1987,5127024,5129011
Denmark,1992,5171393,5173385
Denmark,1997,5283663,5285660
Denmark,2002,5374693,5376695
Denmark,2007,5468120,5470127
Djibouti,1952,63149,65101
Djibouti,1957,71851,73808
Djibouti,1962,89898,91860
Djibouti,1967,127617,129584
Djibouti,1972,178848,180820
Djibouti,1977,228694,230671
Djibouti,1982,305991,307973
Djibouti,1987,311025,313012
Djibouti,1992,384156,386148
Djibouti,1997,417908,419905
Djibouti,2002,447416,449418
Djibouti,2007,496374,498381
Dominican Republic,1952,2491346,2493298
Dominican Republic,1957,2923186,2925143
Dominican Republic,1962,3453434,3455396
Dominican Republic,1967,4049146,4051113
Dominican Republic,1972,4671329,4673301
Dominican Republic,1977,5302800,5304777
Dominican Republic,1982,5968349,5970331
Dominican Republic,1987,6655297,6657284
Dominican Republic,1992,7351181,7353173
Dominican Republic,1997,7992357,7994354
Dominican Republic,2002,8650322,8652324
Dominican Republic,2007,9319622,9321629
Ecuador,1952,3548753,3550705
Ecuador,1957,4058385,4060342
Ecuador,1962,4681707,4683669
Ecuador,1967,5432424,5434391
Ecuador,1972,6298651,6300623
Ecuador,1977,7278866,7280843
Ecuador,1982,8365850,8367832
Ecuador,1987,9545158,9547145
Ecuador,1992,10748394,10750386
Ecuador,1997,11911819,11913816
Ecuador,2002,12921234,12923236
Ecuador,2007,13755680,13757687
Egypt,1952,22223309,22225261
Egypt,1957,25009741,25011698
Egypt,1962,28173309,28175271
Egypt,1967,31681188,31683155
Egypt,1972,34807417,34809389
Egypt,1977,38783863,38785840
Egypt,1982,45681811,45683793
Egypt,1987,52799062,52801049
Egypt,1992,59402198,59404190
Egypt,1997,66134291,66136288
Egypt,2002,73312559,73314561
Egypt,2007,80264543,80266550
El Salvador,1952,2042865,2044817
El Salvador,1957,2355805,2357762
El Salvador,1962,2747687,2749649
El Salvador,1967,3232927,3234894
El Salvador,1972,3790903,3792875
El Salvador,1977,4282586,4284563
El Salvador,1982,4474873,4476855
El Salvador,1987,4842194,4844181
El Salvador,1992,5274649,5276641
El Salvador,1997,5783439,5785436
El Salvador,2002,6353681,6355683
El Salvador,2007,6939688,6941695
Equatorial Guinea,1952,216964,218916
Equatorial Guinea,1957,232922,234879
Equatorial Guinea,1962,249220,251182
Equatorial Guinea,1967,259864,261831
Equatorial Guinea,1972,277603,279575
Equatorial Guinea,1977,192675,194652
Equatorial Guinea,1982,285483,287465
Equatorial Guinea,1987,341244,343231
Equatorial Guinea,1992,387838,389830
Equatorial Guinea,1997,439971,441968
Equatorial Guinea,2002,495627,497629
Equatorial Guinea,2007,551201,553208
Eritrea,1952,1438760,1440712
Eritrea,1957,1542611,1544568
Eritrea,1962,1666618,1668580
Eritrea,1967,1820319,1822286
Eritrea,1972,2260187,2262159
Eritrea,1977,2512642,2514619
Eritrea,1982,2637297,2639279
Eritrea,1987,2915959,2917946
Eritrea,1992,3668440,3670432
Eritrea,1997,4058319,4060316
Eritrea,2002,4414865,4416867
Eritrea,2007,4906585,4908592
Ethiopia,1952,20860941,20862893
Ethiopia,1957,22815614,22817571
Ethiopia,1962,25145372,25147334
Ethiopia,1967,27860297,27862264
Ethiopia,1972,30770372,30772344
Ethiopia,1977,34617799,34619776
Ethiopia,1982,38111756,38113738
Ethiopia,1987,42999530,43001517
Ethiopia,1992,52088559,52090551
Ethiopia,1997,59861301,59863298
Ethiopia,2002,67946797,67948799
Ethiopia,2007,76511887,76513894
Finland,1952,4090500,4092452
Finland,1957,4324000,4325957
Finland,1962,4491443,4493405
Finland,1967,4605744,4607711
Finland,1972,4639657,4641629
Finland,1977,4738902,4740879
Finland,1982,4826933,4828915
Finland,1987,4931729,4933716
Finland,1992,5041039,5043031
Finland,1997,5134406,5136403
Finland,2002,5193039,5195041
Finland,2007,5238460,5240467
France,1952,42459667,42461619
France,1957,44310863,44312820
France,1962,47124000,47125962
France,1967,49569000,49570967
France,1972,51732000,51733972
France,1977,53165019,53166996
France,1982,54433565,54435547
France,1987,55630100,55632087
France,1992,57374179,57376171
France,1997,58623428,58625425
France,2002,59925035,59927037
France,2007,61083916,61085923
Gabon,1952,420702,422654
Gabon,1957,434904,436861
Gabon,1962,455661,457623
Gabon,1967,489004,490971
Gabon,1972,537977,539949
Gabon,1977,706367,708344
Gabon,1982,753874,755856
Gabon,1987,880397,882384
Gabon,1992,985739,987731
Gabon,1997,1126189,1128186
Gabon,2002,1299304,1301306
Gabon,2007,1454867,1456874
Gambia,1952,284320,286272
Gambia,1957,323150,325107
Gambia,1962,374020,375982
Gambia,1967,439593,441560
Gambia,1972,517101,519073
Gambia,1977,608274,610251
Gambia,1982,715523,717505
Gambia,1987,848406,850393
Gambia,1992,1025384,1027376
Gambia,1997,1235767,1237764
Gambia,2002,1457766,1459768
Gambia,2007,1688359,1690366
Germany,1952,69145952,69147904
Germany,1957,71019069,71021026
Germany,1962,73739117,73741079
Germany,1967,76368453,76370420
Germany,1972,78717088,78719060
Germany,1977,78160773,78162750
Germany,1982,78335266,78337248
Germany,1987,77718298,77720285
Germany,1992,80597764,80599756
Germany,1997,82011073,82013070
Germany,2002,82350671,82352673
Germany,2007,82400996,82403003
Ghana,1952,5581001,5582953
Ghana,1957,6391288,6393245
Ghana,1962,7355248,7357210
Ghana,1967,8490213,8492180
Ghana,1972,9354120,9356092
Ghana,1977,10538093,10540070
Ghana,1982,11400338,11402320
Ghana,1987,14168101,14170088
Ghana,1992,16278738,16280730
Ghana,1997,18418288,18420285
Ghana,2002,20550751,20552753
Ghana,2007,22873338,22875345
Greece,1952,7733250,7735202
Greece,1957,8096218,8098175
Greece,1962,8448233,8450195
Greece,1967,8716441,8718408
Greece,1972,8888628,8890600
Greece,1977,9308479,9310456
Greece,1982,9786480,9788462
Greece,1987,9974490,9976477
Greece,1992,10325429,10327421
Greece,1997,10502372,10504369
Greece,2002,10603863,10605865
Greece,2007,10706290,10708297
Guatemala,1952,3146381,3148333
Guatemala,1957,3640876,3642833
Guatemala,1962,4208858,4210820
Guatemala,1967,4690773,4692740
Guatemala,1972,5149581,5151553
Guatemala,1977,5703430,5705407
Guatemala,1982,6395630,6397612
Guatemala,1987,7326406,7328393
Guatemala,1992,8486949,8488941
Guatemala,1997,9803875,9805872
Guatemala,2002,11178650,11180652
Guatemala,2007,12572928,12574935
Guinea,1952,2664249,2666201
Guinea,1957,2876726,2878683
Guinea,1962,3140003,3141965
Guinea,1967,3451418,3453385
Guinea,1972,3811387,3813359
Guinea,1977,4227026,4229003
Guinea,1982,4710497,4712479
Guinea,1987,5650262,5652249
Guinea,1992,6990574,6992566
Guinea,1997,8048834,8050831
Guinea,2002,8807818,8809820
Guinea,2007,9947814,9949821
Guinea-Bissau,1952,580653,582605
Guinea-Bissau,1957,601095,603052
Guinea-Bissau,1962,627820,629782
Guinea-Bissau,1967,601287,603254
Guinea-Bissau,1972,625361,627333
Guinea-Bissau,1977,745228,747205
Guinea-Bissau,1982,825987,827969
Guinea-Bissau,1987,927524,929511
Guinea-Bissau,1992,1050938,1052930
Guinea-Bissau,1997,1193708,1195705
Guinea-Bissau,2002,1332459,1334461
Guinea-Bissau,2007,1472041,1474048
Haiti,1952,3201488,3203440
Haiti,1957,3507701,3509658
Haiti,1962,3880130,3882092
Haiti,1967,4318137,4320104
Haiti,1972,4698301,4700273
Haiti,1977,4908554,4910531
Haiti,1982,5198399,5200381
Haiti,1987,5756203,5758190
Haiti,1992,6326682,6328674
Haiti,1997,6913545,6915542
Haiti,2002,7607651,7609653
Haiti,2007,8502814,8504821
Honduras,1952,1517453,1519405
Honduras,1957,1770390,1772347
Honduras,1962,2090162,2092124
Honduras,1967,2500689,2502656
Honduras,1972,2965146,2967118
Honduras,1977,3055235,3057212
Honduras,1982,3669448,3671430
Honduras,1987,4372203,4374190
Honduras,1992,5077347,5079339
Honduras,1997,5867957,5869954
Honduras,2002,6677328,6679330
Honduras,2007,7483763,7485770
"Hong Kong, China",1952,2125900,2127852
"Hong Kong, China",1957,2736300,2738257
"Hong Kong, China",1962,3305200,3307162
"Hong Kong, China",1967,3722800,3724767
"Hong Kong, China",1972,4115700,4117672
"Hong Kong, China",1977,4583700,4585677
"Hong Kong, China",1982,5264500,5266482
"Hong Kong, China",1987,5584510,5586497
"Hong Kong, China",1992,5829696,5831688
"Hong Kong, China",1997,6495918,6497915
"Hong Kong, China",2002,6762476,6764478
"Hong Kong, China",2007,6980412,6982419
Hungary,1952,9504000,9505952
Hungary,1957,9839000,9840957
Hungary,1962,10063000,10064962
Hungary,1967,10223422,10225389
Hungary,1972,10394091,10396063
Hungary,1977,10637171,10639148
Hungary,1982,10705535,10707517
Hungary,1987,10612740,10614727
Hungary,1992,10348684,10350676
Hungary,1997,10244684,10246681
Hungary,2002,10083313,10085315
Hungary,2007,9956108,9958115
Iceland,1952,147962,149914
Iceland,1957,165110,167067
Iceland,1962,182053,184015
Iceland,1967,198676,200643
Iceland,1972,209275,211247
Iceland,1977,221823,223800
Iceland,1982,233997,235979
Iceland,1987,244676,246663
Iceland,1992,259012,261004
Iceland,1997,271192,273189
Iceland,2002,288030,290032
Iceland,2007,301931,303938
India,1952,372000000,372001952
India,1957,409000000,409001957
India,1962,454000000,454001962
India,1967,506000000,506001967
India,1972,567000000,567001972
India,1977,634000000,634001977
India,1982,708000000,708001982
India,1987,788000000,788001987
India,1992,872000000,872001992
India,1997,959000000,959001997
India,2002,1034172547,1034174549
India,2007,1110396331,1110398338
Indonesia,1952,82052000,82053952
Indonesia,1957,90124000,90125957
Indonesia,1962,99028000,99029962
Indonesia,1967,109343000,109344967
Indonesia,1972,121282000,121283972
Indonesia,1977,136725000,136726977
Indonesia,1982,153343000,153344982
Indonesia,1987,169276000,169277987
Indonesia,1992,184816000,184817992
Indonesia,1997,199278000,199279997
Indonesia,2002,211060000,211062002
Indonesia,2007,223547000,223549007
Iran,1952,17272000,17273952
Iran,1957,19792000,19793957
Iran,1962,22874000,22875962
Iran,1967,26538000,26539967
Iran,1972,30614000,30615972
Iran,1977,35480679,35482656
Iran,1982,43072751,43074733
Iran,1987,51889696,51891683
Iran,1992,60397973,60399965
Iran,1997,63327987,63329984
Iran,2002,66907826,66909828
Iran,2007,69453570,69455577
Iraq,1952,5441766,5443718
Iraq,1957,6248643,6250600
Iraq,1962,7240260,7242222
Iraq,1967,8519282,8521249
Iraq,1972,10061506,10063478
Iraq,1977,11882916,11884893
Iraq,1982,14173318,14175300
Iraq,1987,16543189,16545176
Iraq,1992,17861905,17863897
Iraq,1997,20775703,20777700
Iraq,2002,24001816,24003818
Iraq,2007,27499638,27501645
Ireland,1952,2952156,2954108
Ireland,1957,2878220,2880177
Ireland,1962,2830000,2831962
Ireland,1967,2900100,2902067
Ireland,1972,3024400,3026372
Ireland,1977,3271900,3273877
Ireland,1982,3480000,3481982
Ireland,1987,3539900,3541887
Ireland,1992,3557761,3559753
Ireland,1997,3667233,3669230
Ireland,2002,3879155,3881157
Ireland,2007,4109086,4111093
Israel,1952,1620914,1622866
Israel,1957,1944401,1946358
Israel,1962,2310904,2312866
Israel,1967,2693585,2695552
Israel,1972,3095893,3097865
Israel,1977,3495918,3497895
Israel,1982,3858421,3860403
Israel,1987,4203148,4205135
Israel,1992,4936550,4938542
Israel,1997,5531387,5533384
Israel,2002,6029529,6031531
Israel,2007,6426679,6428686
Italy,1952,47666000,47667952
Italy,1957,49182000,49183957
Italy,1962,50843200,50845162
Italy,1967,52667100,52669067
Italy,1972,54365564,54367536
Italy,1977,56059245,56061222
Italy,1982,56535636,56537618
Italy,1987,56729703,56731690
Italy,1992,56840847,56842839
Italy,1997,57479469,57481466
Italy,2002,57926999,57929001
Italy,2007,58147733,58149740
Jamaica,1952,1426095,1428047
Jamaica,1957,1535090,1537047
Jamaica,1962,1665128,1667090
Jamaica,1967,1861096,1863063
Jamaica,1972,1997616,1999588
Jamaica,1977,2156814,2158791
Jamaica,1982,2298309,2300291
Jamaica,1987,2326606,2328593
Jamaica,1992,2378618,2380610
Jamaica,1997,2531311,2533308
Jamaica,2002,2664659,2666661
Jamaica,2007,2780132,2782139
Japan,1952,86459025,86460977
Japan,1957,91563009,91564966
Japan,1962,95831757,95833719
Japan,1967,100825279,100827246
Japan,1972,107188273,107190245
Japan,1977,113872473,113874450
Japan,1982,118454974,118456956
Japan,1987,122091325,122093312
Japan,1992,124329269,124331261
Japan,1997,125956499,125958496
Japan,2002,127065841,127067843
Japan,2007,127467972,127469979
Jordan,1952,607914,609866
Jordan,1957,746559,748516
Jordan,1962,933559,935521
Jordan,1967,1255058,1257025
Jordan,1972,1613551,1615523
Jordan,1977,1937652,1939629
Jordan,1982,2347031,2349013
Jordan,1987,2820042,2822029
Jordan,1992,3867409,3869401
Jordan,1997,4526235,4528232
Jordan,2002,5307470,5309472
Jordan,2007,6053193,6055200
Kenya,1952,6464046,6465998
Kenya,1957,7454779,7456736
Kenya,1962,8678557,8680519
Kenya,1967,10191512,10193479
Kenya,1972,12044785,12046757
Kenya,1977,14500404,14502381
Kenya,1982,17661452,17663434
Kenya,1987,21198082,21200069
Kenya,1992,25020539,25022531
Kenya,1997,28263827,28265824
Kenya,2002,31386842,31388844
Kenya,2007,35610177,35612184
"Korea, Dem. Rep.",1952,8865488,8867440
"Korea, Dem. Rep.",1957,9411381,9413338
"Korea, Dem. Rep.",1962,10917494,10919456
"Korea, Dem. Rep.",1967,12617009,12618976
"Korea, Dem. Rep.",1972,14781241,14783213
"Korea, Dem. Rep.",1977,16325320,16327297
"Korea, Dem. Rep.",1982,17647518,17649500
"Korea, Dem. Rep.",1987,19067554,19069541
"Korea, Dem. Rep.",1992,20711375,20713367
"Korea, Dem. Rep.",1997,21585105,21587102
"Korea, Dem. Rep.",2002,22215365,22217367
"Korea, Dem. Rep.",2007,23301725,23303732
